Part Numbers,Count,,,,
M393A8G40BB4-CWE,399,,,,
M393A8G40AB2-CWE,400,,,,
M393A4G40AB3-CVF,142,,,,
M393A4G40AB3-CWE,398,,,,
M393A4G40BB3-CWE,297,,,,
M393A4G43BB4-CWE,350,,,,
M391A2K43BB1-CTD,0,,,,
M393A2K40CB2-CVF,0,,,,
M393A4K40CB2-CTD,0,,,,
M393A4K40CB2-CTD,0,,,,
M393A4K40CB2-CTD,804,,,,
M393A4K40CB2-CVF,0,,,,
M393A2K40DB2-CVF,240,,,,
M393A4K40DB2-CVF,74,,,,
M393A4K40DB2-CVF,57,,,,
M393A2K40DB3-CWE,250,,,,
M393A2K40EB3-CWE,278,,,,
M393A4K40EB3-CWE,375,,,,
M393A4K40DB3-CWE,678,,,,
M386AAG40AM3-CWE,0,,,,
HMA42GR7AFR4N-TF,28,,,,
HMN82GR7AFR4N-UH,97,,,,
HMA84GR7AFR4N-UH,0,,,,
HMA82GR7AFR8N-VK,205,,,,
HMA84GR7AFR4N-VK,6,,,,
HMAA8GL7AMR4N-VK,241,,,,
HMAA4GR7AJR4N-WM,212,,,,
HMAA8GR7AJR4N-WM,798,,,,
HMAA8GR7CJR4N-XN,420,,,,
HMAA4GR7CJR4N-XN,187,,,,
HMAA8GR7AJR4N-XN,348,,,,
HMA84GR7CJR4N-WM,18,,,,
HMA82GR7CJR4N-VK,678,,,,
HMA84GR7CJR4N-VK,1082,,,,
HMA84GR7CJR4N-XN,239,,,,
HMAA8GL7CPR4N-WM,541,,,,
HMA82GR7DJR4N-WM,933,,,,
HMA82GR7DJR4N-XN,320,,,,
HMA84GR7DJR4N-WM,151,,,,
HMA84GR7DJR4N-XNT,400,,,,
HMA82GR7JJR4N-VK,310,,,,
HMA84GR7JJR4N-VK,753,,,,
HMA84GR7MFR4N-UH,23,,,,
NT16GA72D4PBX3P-HR,248,,,,
NT16GA72D4PBX3P-IX,248,,,,
NT32GA72D4NBX3P-HR,152,,,,
NT32GA72D4NBX3P-IX,187,,,,
MTA36ASF8G72PZ-2G6E1,0,,,,
MTA18ASF2G72PDZ-2G6D1,177,,,,
MTA36ASF2G72PZ-2G6F1,85,,,,
MTA18ASF2G72PDZ-2G6E1,136,,,,
MTA18ASF2G72PZ-2G9E1,395,,,,
MTA36ASF4G72PZ-2G6E1,58,,,,
MTA36ASF4G72PZ-2G9E2,790,,,,
MTA18ASF2G72PZ-2G6J1,194,,,,
MTA18ASF2G72PZ-2G9J3,300,,,,
MTA18ASF2G72PZ-3G2R1,388,,,,
MTA36ASF4G72PZ-3G2R1,271,,,,
MTA36ASF4G72PZ-2G6J1,244,,,,
MTA18ASF4G72PZ-2G6B1,350,,,,
MTA18ASF4G72PZ-2G9B1,406,,,,
MTA36ASF8G72PZ-2G9B2,400,,,,
MTA36ASF8G72PZ-3G2B2,196,,,,
MTA18ASF4G72PZ-2G9E1,41,,,,
MTA18ASF4G72PZ-3G2E1,328,,,,
MTA36ASF8G72PZ-3G2E1,402,,,,
MTA36ASF8G72PZ-2G9E1,400,,,,
MTA36ASF4G72PZ-3G2J3,462,,,,
MTA18ASF2G72PZ-3G2J3,636,,,,
MS16D432R22S8MEX,200,,,,
MS32D432R22S4MEX,200,,,,
HUH721010ALE600,521,,,,
HUH721212ALN600,163,,,,
HSH721414ALN6M0,350,,,,
HSH721415ALN6M0,60,,,,
HUS724040ALA640,20,,,,
HUS726T4TALA6L4,20,,,,
WUH721818AL4206,60,,,,
WUH721818ALN6L6,0,,,,
WUH721414ALN600,1380,,,,
WUH721816AL4206,275,,,,
WUH721816ALN6L6,5,,,,
ST10000NM0016,374,,,,
ST10000NM000G,55,,,,
ST10000NM000G,334,,,,
ST12000NM0538,97,,,,
ST12000NM0538,13,,,,
ST4000NM000A,206,,,,
ST4000NM0035,16,,,,
ST2000NM0055,2,,,,
ST2000NM0055,4,,,,
ST12000NM007G,67,,,,
ST14000NM000G,107,,,,
ST14000NM0448,80,,,,
ST14000NM0001,256,,,,
ST14000NM021J,44,,,,
ST16000NM000G,37,,,,
ST16000NM007G,3,,,,
ST16000NM007G,0,,,,
ST6000NM037A,41,,,,
ST18000NM019J,240,,,,
ST18000NM018J,0,,,,
HDEPV10SMA51,246,,,,
HDEPR03GEA51,20,,,,
HDEPR01SMA51,22,,,,
HDEPW21SMA51,64,,,,
HDEPN20SMA51F,219,,,,
HDEPX20SMA51F,0,,,,
AD2-KW960 ,0,,,,
AD2-KW960,0,,,,
EP2-KB960,0,,,,
EP3-KW960,0,,,,
EPX-KW960,0,,,,
0TS2231,300,,,,
0TS2232,58,,,,
0TS2381,150,,,,
SSDPEL1C375GA,0,,,,
SSDPELKX020T8D-201,0,,,,
SSDPELKX019T8DM2,0,,,,
SSDPELKX010T801,87,,,,
SSDPELKX019T8M2 ,12,,,,
SSDPELKX038T8D,111,,,,
SSDPELKX960G8D-201,0,,,,
SSDPELKX960G8D-203,25,,,,
HSF960GDE0X089N,197,,,,
HFS960GD0TEG-6410A,704,,,,
HFS1T9GD0FEH-6410A BA,113,,,,
HFS960GD0FEG-A430A,86,,,,
HFS1T9GD0FEH-A430A,38,,,,
HFS3T8GD0FEH-A430A,97,,,,
HFS1T9GD0FEI-A430A,73,,,,
HFS1T9GDE0X089N,90,,,,
HFS3T8GDE0X089N,90,,,,
HFS3T8GD0FEI-A430A,267,,,,
HFS960GD0FEI-A430A,294,,,,
MZ1LV960HCJH-000MU,88,,,,
MZ1LW1T9HMLS-000MV,1,,,,
MZ1LW960HMJP-000MV,225,,,,
MZ1LB1T9HALS-00AMV,18,,,,
MZ1LB1T9HALS-000MV,187,,,,
MZ1LB3T8HMLA-000MV,68,,,,
MZ1LB960HAJQ-000MV,1040,,,,
MZ1LB960HAJQ-00AMV,446,,,,
MZ1LB960HBJR-00AMV,160,,,,
MZ1LB1T9HBLS-00AMV,46,,,,
MZ1LB3T8HALA-00AMV,33,,,,
MZ1L2960HCJR-00AMV,630,,,,
MZ1L21T9HCLS-00AMV,180,,,,
MZ1L23T8HBLA-00AMV,58,,,,
KXD5DLN13T84,147,,,,
MZEM515THALC-00AMV,0,,,,
MZELB15THMLA-000MV,136,,,,
MZCL23T8HCLS-00AMV,196,,,,
MZCL21T9HCJR-00AMV,190,,,,
SSDPEXNV153T8M2,42,,,,
WUS4AB0A1DAELE7,3,,,,
HFS15T3DGLX070N,24,,,,
MTFDDAK960TCB,25,,,,
MTFDDAK960TCC,2,,,,
MTFDDAK960TDD,44,,,,
MZ7LM960HCHP-000MV,0,,,,
MZ7LM960HMJP-000MV,21,,,,
MZ7LH960HAJR-00AMV,1,,,,
MZ7LH960HAJR-000MV,61,,,,
MZ7WD960HMHP-00003,2,,,,
HFS960G32MED-3410A,42,,,,
HFS960G32MFD-3410A,2,,,,
HFS960G32FEH-7A10A,161,,,,
HMAA4GR7AJR4N-XN,272,,,,
ST6000NM0115,0,,,,
HDEPZA0SMB51F,0,,,,
WUS4BB019D4MBE6,0,,,,
